playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Chone Figgins,LAA,615,.298,.395,.393,.788
Kendrys Morales,LAA,566,.306,.355,.569,.924
Bobby Abreu,LAA,563,.293,.390,.435,.825
Juan Rivera,LAA,529,.287,.332,.478,.810
Erick Aybar,LAA,504,.312,.353,.423,.776
Torii Hunter,LAA,451,.299,.366,.508,.874
Maicer Izturis,LAA,387,.300,.359,.434,.793
Vladimir Guerrero,LAA,383,.295,.334,.460,.794
Mike Napoli,LAA,382,.272,.350,.492,.842
Howie Kendrick,LAA,374,.291,.334,.444,.778
Gary Matthews Jr.,LAA,316,.250,.336,.361,.697
