playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Joe Ryan,MIN,147.0,3.55,1.10,151,13
Tyler Mahle,MIN,120.2,4.40,1.22,126,6
Sonny Gray,MIN,119.2,3.08,1.13,117,8
Dylan Bundy,MIN,140.0,4.89,1.28,94,8
Jhoan Duran,MIN,67.2,1.86,0.98,89,2
Emilio Pagán,MIN,63.0,4.43,1.37,84,4
Chris Archer,MIN,102.2,4.56,1.31,84,2
Caleb Thielbar,MIN,59.1,3.49,1.16,80,4
Griffin Jax,MIN,72.1,3.36,1.05,78,7
Jorge López,MIN,71.0,2.54,1.18,72,4
