playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Omar Vizquel,CLE,613,.287,.377,.375,.752
Roberto Alomar,CLE,610,.310,.378,.475,.853
David Segui,CLE,574,.334,.388,.510,.898
Travis Fryman,CLE,574,.321,.392,.516,.908
Jim Thome,CLE,557,.269,.398,.531,.929
Kenny Lofton,CLE,543,.278,.369,.422,.791
Wil Cordero,CLE,496,.276,.328,.464,.792
Manny Ramirez,CLE,439,.351,.457,.697,1.154
Sandy Alomar Jr.,CLE,356,.289,.324,.404,.728
Einar Díaz,CLE,250,.272,.323,.392,.715
Russell Branyan,CLE,193,.238,.327,.544,.871
