playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Cristian Guzman,MIN,631,.247,.299,.388,.687
Matt Lawton III,MIN,561,.305,.405,.460,.865
Ron Coomer,MIN,544,.270,.317,.415,.732
Jacque Jones,MIN,523,.285,.319,.463,.782
Corey Koskie,MIN,474,.300,.400,.441,.841
David Ortiz,MIN,415,.282,.364,.446,.810
Denny Hocking,MIN,373,.298,.373,.416,.789
Jay Canizaro,MIN,346,.269,.318,.396,.714
Torii Hunter,MIN,336,.280,.318,.408,.726
Matthew LeCroy,MIN,167,.174,.254,.323,.577
Marcus Jensen,MIN,139,.209,.325,.338,.663
