playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Matt Holliday,STL,599,.295,.379,.497,.876
Carlos Beltrán,STL,547,.269,.346,.495,.841
Yadier Molina,STL,505,.315,.373,.501,.874
David Freese,STL,501,.293,.372,.467,.839
Rafael Furcal,STL,477,.264,.325,.346,.671
Allen Craig,STL,469,.307,.354,.522,.876
Jon Jay,STL,443,.305,.373,.400,.773
Daniel Descalso,STL,374,.227,.303,.324,.627
Matt Carpenter,STL,296,.294,.365,.463,.828
Skip Schumaker,STL,272,.276,.339,.368,.707
Shane Robinson,STL,166,.253,.309,.355,.664
