playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Jimmy Rollins,PHI,600,.252,.318,.348,.666
Domonic Brown,PHI,496,.272,.324,.494,.818
Chase Utley,PHI,476,.284,.348,.475,.823
John Mayberry Jr.,PHI,353,.227,.286,.391,.677
Ben Revere,PHI,315,.305,.338,.352,.690
Carlos Ruiz,PHI,310,.268,.320,.368,.688
Ryan Howard,PHI,286,.266,.319,.465,.784
Kevin Frandsen,PHI,252,.234,.296,.341,.637
Darin Ruf,PHI,251,.247,.348,.458,.806
Roger Bernadina,PHI,227,.181,.250,.295,.545
Freddy Galvis,PHI,205,.234,.283,.385,.668
