playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Cliff Lee,PHI,222.2,2.87,1.01,222,14
Cole Hamels,PHI,220.0,3.60,1.16,202,8
Kyle Kendrick,PHI,182.0,4.70,1.40,110,10
Jonathan Pettibone,PHI,100.1,4.04,1.47,66,5
Jonathan Papelbon,PHI,61.2,2.92,1.14,57,5
Roy Halladay,PHI,62.0,6.82,1.47,51,4
Antonio Bastardo,PHI,42.2,2.32,1.27,47,3
Ethan Martin,PHI,40.0,6.08,1.70,47,2
Justin De Fratus,PHI,46.2,3.86,1.50,42,3
Tyler Cloyd,PHI,60.1,6.56,1.79,41,2
