playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Ender Inciarte,ATL,662,.304,.350,.409,.759
Nick Markakis,ATL,593,.275,.354,.384,.738
Dansby Swanson,ATL,488,.232,.312,.324,.636
Freddie Freeman,ATL,440,.307,.403,.586,.989
Matt Kemp,ATL,438,.276,.318,.463,.781
Matt Adams,ATL,339,.274,.319,.522,.841
Tyler Flowers,ATL,317,.281,.378,.445,.823
Kurt Suzuki,ATL,276,.283,.351,.536,.887
Johan Camargo,ATL,241,.299,.331,.452,.783
Ozzie Albies,ATL,217,.286,.354,.456,.810
Jace Peterson,ATL,186,.215,.318,.317,.635
