playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Vladimir Guerrero,LAA,607,.329,.382,.552,.934
Orlando Cabrera,LAA,607,.282,.335,.404,.739
Chone Figgins,LAA,604,.267,.336,.376,.712
Garret Anderson,LAA,543,.280,.323,.433,.756
Adam Kennedy,LAA,451,.273,.334,.384,.718
Juan Rivera,LAA,448,.310,.362,.525,.887
Maicer Izturis,LAA,352,.293,.365,.412,.777
Mike Napoli,LAA,268,.228,.360,.455,.815
Howie Kendrick,LAA,267,.285,.314,.416,.730
Robb Quinlan,LAA,234,.321,.344,.491,.835
José Molina,LAA,225,.240,.273,.369,.642
