playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Bobby Witt Jr.,KC,641,.276,.319,.495,.814
Salvador Perez,KC,538,.255,.292,.422,.714
MJ Melendez,KC,533,.235,.316,.398,.714
Maikel Garcia,KC,464,.272,.323,.358,.681
Michael Massey,KC,428,.229,.274,.381,.655
Edward Olivares,KC,354,.263,.317,.452,.769
Nick Pratto,KC,306,.232,.307,.353,.660
Drew Waters,KC,302,.228,.300,.377,.677
Kyle Isbel,KC,292,.240,.282,.380,.662
Vinnie Pasquantino,KC,231,.247,.324,.437,.761
Freddy Fermin,KC,217,.281,.321,.461,.782
