year,teamName,wins,losses,win_rate
2022,PIT,62,100,0.3827
2022,CIN,62,100,0.3827
2022,LAD,111,51,0.6852
2022,SD,89,73,0.5494
2022,SF,81,81,0.5
2022,AZ,74,88,0.4568
2022,COL,68,94,0.4198
2023,BAL,101,61,0.6235
2023,TB,99,63,0.6111
2023,TOR,89,73,0.5494
2023,NYY,82,80,0.5062
2023,BOS,78,84,0.4815
2023,MIN,87,75,0.537
2023,DET,78,84,0.4815
2023,CLE,76,86,0.4691
2023,CWS,61,101,0.3765
2023,KC,56,106,0.3457
2023,HOU,90,72,0.5556
2023,TEX,90,72,0.5556
2023,SEA,88,74,0.5432
2023,LAA,73,89,0.4506
2023,OAK,50,112,0.3086
2023,ATL,104,58,0.642
2023,PHI,90,72,0.5556
2023,MIA,84,78,0.5185
2023,NYM,75,87,0.463
2023,WSH,71,91,0.4383
2023,MIL,92,70,0.5679
2023,CHC,83,79,0.5123
2023,CIN,82,80,0.5062
2023,PIT,76,86,0.4691
2023,STL,71,91,0.4383
2023,LAD,100,62,0.6173
2023,AZ,84,78,0.5185
2023,SD,82,80,0.5062
2023,SF,79,83,0.4877
2023,COL,59,103,0.3642
2024,NYY,94,68,0.5802
2024,BAL,91,71,0.5617
2024,BOS,81,81,0.5
2024,TB,80,82,0.4938
2024,TOR,74,88,0.4568
2024,CLE,92,69,0.5714
2024,KC,86,76,0.5309
2024,DET,86,76,0.5309
2024,MIN,82,80,0.5062
2024,CWS,41,121,0.2531
2024,HOU,88,73,0.5466
2024,SEA,85,77,0.5247
2024,TEX,78,84,0.4815
2024,OAK,69,93,0.4259
2024,LAA,63,99,0.3889
2024,PHI,95,67,0.5864
2024,ATL,89,73,0.5494
2024,NYM,89,73,0.5494
2024,WSH,71,91,0.4383
2024,MIA,62,100,0.3827
2024,MIL,93,69,0.5741
2024,STL,83,79,0.5123
2024,CHC,83,79,0.5123
2024,CIN,77,85,0.4753
2024,PIT,76,86,0.4691
2024,LAD,98,64,0.6049
2024,SD,93,69,0.5741
2024,AZ,89,73,0.5494
2024,SF,80,82,0.4938
2024,COL,61,101,0.3765
2025,TOR,94,68,0.5802
2025,NYY,94,68,0.5802
2025,BOS,89,73,0.5494
2025,TB,77,85,0.4753
2025,BAL,75,87,0.463
2025,CLE,88,74,0.5432
2025,DET,87,75,0.537
2025,KC,82,80,0.5062
2025,MIN,70,92,0.4321
2025,CWS,60,102,0.3704
2025,SEA,90,72,0.5556
2025,HOU,87,75,0.537
2025,TEX,81,81,0.5
2025,OAK,76,86,0.4691
2025,LAA,72,90,0.4444
2025,PHI,96,66,0.5926
2025,NYM,83,79,0.5123
2025,MIA,79,83,0.4877
2025,ATL,76,86,0.4691
2025,WSH,66,96,0.4074
2025,MIL,97,65,0.5988
2025,CHC,92,70,0.5679
2025,CIN,83,79,0.5123
2025,STL,78,84,0.4815
2025,PIT,71,91,0.4383
2025,LAD,93,69,0.5741
2025,SD,90,72,0.5556
2025,SF,81,81,0.5
2025,AZ,80,82,0.4938
2025,COL,43,119,0.2654
