playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
A.J. Burnett,TOR,165.2,3.75,1.19,176,10
Dustin McGowan,TOR,169.2,4.08,1.22,144,12
Roy Halladay,TOR,225.1,3.71,1.24,139,16
Shaun Marcum,TOR,159.0,4.13,1.25,122,12
Josh Towers,TOR,107.0,5.38,1.41,76,5
Jason Frasor,TOR,57.0,4.58,1.23,59,1
Scott Downs,TOR,58.0,2.17,1.22,57,4
Jeremy Accardo,TOR,67.1,2.14,1.11,57,4
Brian Tallet,TOR,62.1,3.47,1.24,54,2
Joe Kennedy,TOR,110.2,4.80,1.57,51,4
