playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
José Reyes,NYM,681,.280,.354,.421,.775
David Wright,NYM,604,.325,.416,.546,.962
Carlos Beltrán,NYM,554,.276,.353,.525,.878
Luis Castillo,NYM,548,.301,.362,.359,.721
Carlos Delgado,NYM,538,.258,.333,.448,.781
Shawn Green,NYM,446,.291,.352,.430,.782
Paul Lo Duca,NYM,445,.272,.311,.378,.689
Moises Alou,NYM,328,.341,.392,.524,.916
Jeff Conine,NYM,256,.254,.317,.383,.700
Damion Easley,NYM,193,.280,.358,.466,.824
Ruben Gotay,NYM,190,.295,.351,.421,.772
