playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Adam Frazier,SD,577,.305,.368,.411,.779
Jake Cronenworth,SD,567,.266,.340,.460,.800
Manny Machado,SD,564,.278,.347,.489,.836
Eric Hosmer,SD,509,.269,.337,.395,.732
Fernando Tatis Jr.,SD,478,.282,.364,.611,.975
Tommy Pham,SD,475,.229,.340,.383,.723
Trent Grisham,SD,462,.242,.327,.413,.740
Wil Myers,SD,442,.256,.334,.434,.768
Jurickson Profar,SD,353,.227,.329,.320,.649
Victor Caratini,SD,313,.227,.309,.323,.632
Ha-Seong Kim,SD,267,.202,.270,.352,.622
