playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Jason Kendall,PIT,606,.266,.335,.358,.693
Aramis Ramirez,PIT,603,.300,.350,.536,.886
Brian Giles,PIT,576,.309,.404,.590,.994
Kevin Young,PIT,449,.232,.310,.399,.709
Gary Matthews Jr.,PIT,405,.227,.328,.378,.706
Jack Wilson,PIT,390,.223,.255,.295,.550
Armando Rios,PIT,319,.260,.332,.464,.796
Abraham O. Nunez,PIT,301,.262,.326,.336,.662
Pat Meares,PIT,270,.211,.244,.304,.548
Rob Mackowiak,PIT,214,.266,.319,.411,.730
Craig Wilson,PIT,158,.310,.390,.589,.979
