playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Prince Fielder,TEX,613,.305,.378,.463,.841
Elvis Andrus,TEX,596,.258,.309,.357,.666
Adrian Beltré,TEX,567,.287,.334,.453,.787
Shin-Soo Choo,TEX,555,.276,.375,.463,.838
Mitch Moreland,TEX,471,.278,.330,.482,.812
Rougned Odor,TEX,426,.261,.316,.465,.781
Delino DeShields,TEX,425,.261,.344,.374,.718
Mike Napoli,TEX,407,.224,.324,.410,.734
Will Venable,TEX,349,.244,.320,.350,.670
Leonys Martin,TEX,288,.219,.264,.313,.577
Robinson Chirinos,TEX,233,.232,.325,.438,.763
