playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Ian Desmond,WSH,583,.233,.290,.384,.674
Yunel Escobar,WSH,535,.314,.375,.415,.790
Bryce Harper,WSH,521,.330,.460,.649,1.109
Wilson Ramos,WSH,475,.229,.258,.358,.616
Michael A. Taylor,WSH,472,.229,.282,.358,.640
Danny Espinosa,WSH,367,.240,.311,.409,.720
Ryan Zimmerman,WSH,346,.249,.308,.465,.773
Jayson Werth,WSH,331,.221,.302,.384,.686
Anthony Rendon,WSH,311,.264,.344,.363,.707
Clint Robinson,WSH,309,.272,.358,.424,.782
Denard Span,WSH,246,.301,.365,.431,.796
