playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Michael Brantley,CLE,611,.327,.385,.506,.891
Carlos Santana,CLE,541,.231,.365,.427,.792
Jason Kipnis,CLE,500,.240,.310,.330,.640
Yan Gomes,CLE,485,.278,.313,.472,.785
Lonnie Chisenhall,CLE,478,.280,.343,.427,.770
Michael Bourn,CLE,444,.257,.314,.360,.674
David Murphy,CLE,416,.262,.319,.385,.704
Nick Swisher,CLE,360,.208,.278,.331,.609
Mike Aviles,CLE,344,.247,.273,.343,.616
José Ramírez,CLE,237,.262,.300,.346,.646
Ryan Raburn,CLE,195,.200,.250,.297,.547
