playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Carlos Lee,MIL,618,.265,.324,.487,.811
Brady Clark,MIL,599,.306,.372,.426,.798
Geoff Jenkins,MIL,538,.292,.375,.513,.888
Lyle Overbay,MIL,537,.276,.367,.449,.816
Bill Hall,MIL,501,.291,.342,.495,.837
Damian Miller,MIL,385,.273,.340,.413,.753
J.J. Hardy,MIL,372,.247,.327,.384,.711
Rickie Weeks Jr.,MIL,360,.239,.333,.394,.727
Russell Branyan,MIL,202,.257,.378,.490,.868
Chad Moeller,MIL,199,.206,.257,.367,.624
Jeff Cirillo,MIL,185,.281,.373,.427,.800
