playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Matthew Boyd,DET,170.1,4.39,1.16,159,9
Jordan Zimmermann,DET,131.1,4.52,1.26,111,7
Michael Fulmer,DET,132.1,4.69,1.31,110,3
Francisco Liriano,DET,133.2,4.58,1.50,110,5
Joe Jiménez,DET,62.2,4.31,1.20,78,5
Blaine Hardy,DET,86.0,3.56,1.17,66,4
Shane Greene,DET,63.1,5.12,1.37,65,4
Buck Farmer,DET,69.1,4.15,1.56,57,3
Drew VerHagen,DET,56.1,4.63,1.15,53,3
Daniel Norris,DET,44.1,5.68,1.47,51,0
