playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Fernando Viña,STL,631,.303,.357,.418,.775
Albert Pujols,STL,590,.329,.403,.610,1.013
Placido Polanco,STL,564,.307,.342,.383,.725
Jim Edmonds,STL,500,.304,.410,.564,.974
Edgar Renteria,STL,493,.260,.314,.371,.685
Mike Matheny,STL,381,.218,.276,.304,.580
J.D. Drew,STL,375,.323,.414,.613,1.027
Craig Paquette,STL,340,.282,.326,.465,.791
Mark McGwire,STL,299,.187,.316,.492,.808
Eli Marrero,STL,203,.266,.312,.438,.750
Kerry Robinson,STL,186,.285,.330,.344,.674
