playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Derek Jeter,NYY,643,.292,.352,.471,.823
Alex Rodriguez,NYY,601,.286,.375,.512,.887
Hideki Matsui,NYY,584,.298,.390,.522,.912
Gary Sheffield,NYY,573,.290,.393,.534,.927
Bernie Williams,NYY,561,.262,.360,.435,.795
Jorge Posada,NYY,449,.272,.400,.481,.881
John Olerud,NYY,425,.259,.359,.374,.733
Miguel Cairo,NYY,360,.292,.346,.417,.763
Ruben Sierra,NYY,307,.244,.296,.456,.752
Kenny Lofton,NYY,276,.275,.346,.395,.741
Jason Giambi,NYY,264,.208,.342,.379,.721
