playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Charlie Blackmon,COL,593,.288,.335,.440,.775
Justin Morneau,COL,502,.319,.364,.496,.860
DJ LeMahieu,COL,494,.267,.315,.348,.663
Corey Dickerson,COL,436,.312,.364,.567,.931
Nolan Arenado,COL,432,.287,.328,.500,.828
Drew Stubbs,COL,388,.289,.339,.482,.821
Wilin Rosario,COL,382,.267,.305,.435,.740
Troy Tulowitzki,COL,315,.340,.432,.603,1.035
Josh Rutledge,COL,309,.269,.323,.405,.728
Brandon Barnes,COL,292,.257,.293,.425,.718
Carlos González,COL,260,.238,.292,.431,.723
