playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Brian Dozier,MIN,615,.268,.340,.546,.886
Joe Mauer,MIN,494,.261,.363,.389,.752
Miguel Sanó,MIN,437,.236,.319,.462,.781
Max Kepler,MIN,396,.235,.309,.424,.733
Eduardo Escobar,MIN,352,.236,.280,.338,.618
Kurt Suzuki,MIN,345,.258,.301,.403,.704
Eddie Rosario,MIN,335,.269,.295,.421,.716
Robbie Grossman,MIN,332,.280,.386,.443,.829
Trevor Plouffe,MIN,319,.260,.303,.420,.723
Byron Buxton,MIN,298,.225,.284,.430,.714
Jorge Polanco,MIN,245,.282,.332,.424,.756
