playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Framber Valdez,HOU,201.1,2.82,1.16,194,17
Cristian Javier,HOU,148.2,2.54,0.95,194,11
Justin Verlander,HOU,175.0,1.75,0.83,185,18
Luis Garcia,HOU,157.1,3.72,1.13,157,15
José Urquidy,HOU,164.1,3.94,1.17,134,13
Bryan Abreu,HOU,60.1,1.94,1.18,88,4
Héctor Neris,HOU,65.1,3.72,1.01,79,6
Rafael Montero,HOU,68.1,2.37,1.02,73,5
Phil Maton,HOU,65.2,3.84,1.25,73,0
Ryan Pressly,HOU,48.1,2.98,0.89,65,3
