playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Nomar Garciaparra,BOS,635,.310,.352,.528,.880
Shea Hillenbrand,BOS,634,.293,.330,.459,.789
Johnny Damon,BOS,623,.286,.356,.443,.799
Trot Nixon,BOS,532,.256,.338,.470,.808
Cliff Floyd,BOS,520,.288,.388,.533,.921
Jason Varitek,BOS,467,.266,.332,.392,.724
Brian Daubach,BOS,444,.266,.348,.464,.812
Manny Ramirez,BOS,436,.349,.450,.647,1.097
Rey Sanchez,BOS,357,.286,.318,.345,.663
Tony Clark,BOS,275,.207,.265,.291,.556
Lou Merloni,BOS,194,.247,.332,.392,.724
