playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Yoenis Cespedes,NYM,633,.291,.328,.542,.870
Curtis Granderson,NYM,580,.259,.364,.457,.821
Daniel Murphy,NYM,499,.281,.322,.449,.771
Wilmer Flores,NYM,483,.263,.295,.408,.703
Lucas Duda,NYM,471,.244,.352,.486,.838
Juan Lagares,NYM,441,.259,.289,.358,.647
Michael Cuddyer,NYM,379,.259,.309,.391,.700
Rubén Tejada,NYM,360,.261,.338,.350,.688
Juan Uribe,NYM,360,.253,.320,.417,.737
Kelly Johnson,NYM,310,.265,.314,.435,.749
Travis d'Arnaud,NYM,239,.268,.340,.485,.825
