playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Shohei Ohtani,LAA,497,.304,.412,.654,1.066
Brandon Drury,LAA,485,.262,.306,.497,.803
Randal Grichuk,LAA,434,.267,.321,.459,.780
Luis Rengifo,LAA,394,.264,.339,.444,.783
Taylor Ward,LAA,356,.253,.335,.421,.756
Mike Moustakas,LAA,352,.247,.293,.392,.685
Mickey Moniak,LAA,311,.280,.307,.495,.802
Mike Trout,LAA,308,.263,.367,.490,.857
Zach Neto,LAA,289,.225,.308,.377,.685
Eduardo Escobar,LAA,288,.226,.269,.344,.613
Matt Thaiss,LAA,262,.214,.319,.340,.659
