playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Dante Bichette,BOS,575,.294,.350,.477,.827
Nomar Garciaparra,BOS,529,.372,.434,.599,1.033
Troy O'Leary,BOS,513,.261,.320,.411,.731
Mike Lansing,BOS,504,.240,.292,.365,.657
Carl Everett,BOS,496,.300,.373,.587,.960
Brian Daubach,BOS,495,.248,.315,.448,.763
Jose Offerman,BOS,451,.255,.354,.359,.713
Jason Varitek,BOS,448,.248,.342,.388,.730
Trot Nixon,BOS,427,.276,.368,.461,.829
Darren Lewis,BOS,270,.241,.305,.307,.612
Scott Hatteberg,BOS,230,.265,.367,.435,.802
