playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Craig Biggio,HOU,628,.264,.350,.412,.762
Jeff Bagwell,HOU,605,.278,.373,.524,.897
Lance Berkman,HOU,538,.288,.412,.515,.927
Richard Hidalgo,HOU,514,.309,.385,.572,.957
Jeff Kent,HOU,505,.297,.351,.509,.860
Brad Ausmus,HOU,450,.229,.303,.291,.594
Geoff Blum,HOU,420,.262,.295,.379,.674
Adam Everett,HOU,387,.256,.320,.380,.700
Morgan Ensberg,HOU,385,.291,.377,.530,.907
Orlando Merced,HOU,212,.231,.283,.373,.656
Jose Vizcaino,HOU,189,.249,.281,.365,.646
