playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Whit Merrifield,KC,681,.302,.348,.463,.811
Jorge Soler,KC,589,.265,.354,.569,.923
Alex Gordon,KC,556,.266,.345,.396,.741
Hunter Dozier,KC,523,.279,.348,.522,.870
Adalberto Mondesi,KC,415,.263,.291,.424,.715
Nicky Lopez,KC,379,.240,.276,.325,.601
Ryan O'Hearn,KC,328,.195,.281,.369,.650
Cheslor Cuthbert,KC,309,.246,.294,.379,.673
Bubba Starling,KC,186,.215,.255,.317,.572
Meibrys Viloria,KC,133,.211,.259,.286,.545
Cam Gallagher,KC,126,.238,.312,.365,.677
