playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Kevin Pillar,TOR,512,.252,.282,.426,.708
Justin Smoak,TOR,505,.242,.350,.457,.807
Teoscar Hernández,TOR,476,.239,.302,.468,.770
Yangervis Solarte,TOR,468,.226,.277,.378,.655
Randal Grichuk,TOR,424,.245,.301,.502,.803
Aledmys Díaz,TOR,422,.263,.303,.453,.756
Kendrys Morales,TOR,413,.249,.331,.438,.769
Devon Travis,TOR,357,.232,.275,.381,.656
Russell Martin,TOR,289,.194,.338,.325,.663
Lourdes Gurriel Jr.,TOR,249,.281,.309,.446,.755
Luke Maile,TOR,202,.248,.333,.366,.699
