playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Heliot Ramos,SF,620,.256,.328,.400,.728
Rafael Devers,SF,607,.252,.372,.479,.851
Willy Adames,SF,591,.225,.318,.421,.739
Jung Hoo Lee,SF,560,.266,.327,.407,.734
Matt Chapman,SF,454,.231,.340,.430,.770
Wilmer Flores,SF,419,.241,.307,.379,.686
Patrick Bailey,SF,409,.222,.277,.325,.602
Casey Schmitt,SF,312,.237,.305,.401,.706
Tyler Fitzgerald,SF,217,.217,.278,.327,.605
Dominic Smith,SF,204,.284,.333,.417,.750
Christian Koss,SF,174,.264,.309,.368,.677
