playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Luis Castillo,FLA,606,.305,.364,.361,.725
Mike Lowell,FLA,597,.276,.346,.471,.817
Juan Encarnacion,FLA,584,.271,.324,.449,.773
Derrek Lee,FLA,581,.270,.378,.494,.872
Preston Wilson,FLA,510,.243,.329,.429,.758
Kevin Millar,FLA,438,.306,.366,.509,.875
Andy Fox,FLA,435,.251,.338,.333,.671
Eric Owens,FLA,385,.270,.324,.366,.690
Mike Redmond,FLA,256,.305,.372,.387,.759
Charles Johnson,FLA,244,.217,.301,.369,.670
Mike Mordecai,FLA,151,.245,.313,.298,.611
