playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Yu Darvish,TEX,209.2,2.83,1.07,277,13
Derek Holland,TEX,213.0,3.42,1.29,189,10
Matt Garza,TEX,155.1,3.82,1.24,136,10
Martín Pérez,TEX,124.1,3.62,1.34,84,10
Nick Tepesch,TEX,93.0,4.84,1.37,76,4
Joe Nathan,TEX,64.2,1.39,0.90,73,6
Alexi Ogando,TEX,104.1,3.11,1.23,72,7
Neal Cotts,TEX,57.0,1.11,0.95,65,8
Tanner Scheppers,TEX,76.2,1.88,1.07,59,6
Robbie Ross Jr.,TEX,62.1,3.03,1.32,58,4
