playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Garrett Jones,PIT,592,.247,.306,.414,.720
Andrew McCutchen,PIT,570,.286,.365,.449,.814
Ronny Cedeno,PIT,468,.256,.293,.382,.675
Neil Walker,PIT,426,.296,.349,.462,.811
Ryan Doumit,PIT,406,.251,.331,.406,.737
Jose Tabata,PIT,405,.299,.346,.400,.746
Lastings Milledge,PIT,379,.277,.332,.380,.712
Pedro Álvarez,PIT,347,.256,.326,.461,.787
Chris Snyder,PIT,319,.207,.320,.376,.696
Andy LaRoche,PIT,247,.206,.268,.287,.555
Delwyn Young,PIT,191,.236,.286,.414,.700
