playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Miguel Tejada,HOU,635,.313,.340,.455,.795
Carlos Lee,HOU,610,.300,.343,.489,.832
Michael Bourn,HOU,606,.285,.354,.384,.738
Hunter Pence,HOU,585,.282,.346,.472,.818
Kazuo Matsui,HOU,476,.250,.302,.357,.659
Lance Berkman,HOU,460,.274,.399,.509,.908
Geoff Blum,HOU,381,.247,.314,.367,.681
Jeff Keppinger,HOU,305,.256,.320,.387,.707
Chris Coste,HOU,205,.224,.301,.317,.618
Humberto Quintero,HOU,157,.236,.286,.376,.662
Jason Michaels,HOU,135,.237,.322,.430,.752
