playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Ichiro Suzuki,SEA,647,.321,.388,.425,.813
Bret Boone,SEA,608,.278,.339,.462,.801
John Olerud,SEA,553,.300,.403,.490,.893
Mike Cameron,SEA,545,.239,.340,.442,.782
Jeff Cirillo,SEA,485,.249,.301,.328,.629
Carlos Guillén,SEA,475,.261,.326,.394,.720
Ruben Sierra,SEA,419,.270,.319,.418,.737
Dan Wilson,SEA,359,.295,.326,.396,.722
Mark McLemore,SEA,337,.270,.380,.395,.775
Desi Relaford,SEA,329,.267,.339,.374,.713
Edgar Martinez,SEA,328,.277,.403,.485,.888
