playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Elly De La Cruz,CIN,629,.264,.336,.440,.776
TJ Friedl,CIN,579,.261,.364,.378,.742
Ke'Bryan Hayes,CIN,527,.235,.290,.306,.596
Matt McLain,CIN,510,.220,.300,.343,.643
Spencer Steer,CIN,509,.238,.312,.411,.723
Gavin Lux,CIN,446,.269,.350,.374,.724
Austin Hays,CIN,380,.266,.315,.453,.768
Noelvi Marte,CIN,339,.263,.300,.448,.748
Miguel Andujar,CIN,321,.318,.352,.470,.822
Santiago Espinal,CIN,301,.243,.292,.282,.574
Tyler Stephenson,CIN,299,.231,.316,.421,.737
