playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Roberto Alomar,NYM,590,.266,.331,.376,.707
Roger Cedeno,NYM,511,.260,.318,.346,.664
Edgardo Alfonzo,NYM,490,.308,.391,.459,.850
Mo Vaughn,NYM,487,.259,.349,.456,.805
Jeromy Burnitz,NYM,479,.215,.311,.365,.676
Mike Piazza,NYM,478,.280,.359,.544,.903
Rey Ordonez,NYM,460,.254,.292,.324,.616
Timo Perez,NYM,444,.295,.331,.437,.768
John Valentin,NYM,208,.240,.339,.356,.695
Joe McEwing,NYM,196,.199,.242,.296,.538
Vance Wilson,NYM,163,.245,.301,.380,.681
