playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Michael Bourn,ATL,656,.294,.349,.386,.735
Dan Uggla,ATL,600,.233,.311,.453,.764
Freddie Freeman,ATL,571,.282,.346,.448,.794
Alex Gonzalez,ATL,564,.241,.270,.372,.642
Martín Prado,ATL,551,.260,.302,.385,.687
Brian McCann,ATL,466,.270,.351,.466,.817
Chipper Jones Jr.,ATL,455,.275,.344,.470,.814
Jason Heyward,ATL,396,.227,.319,.389,.708
Nate McLouth,ATL,267,.228,.344,.333,.677
Matt Diaz,ATL,251,.263,.302,.323,.625
Eric Hinske,ATL,236,.233,.311,.403,.714
