playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Carlos González,COL,518,.303,.371,.510,.881
Jordan Pacheco,COL,475,.309,.341,.421,.762
Dexter Fowler,COL,454,.300,.389,.474,.863
Tyler Colvin,COL,420,.290,.327,.531,.858
Wilin Rosario,COL,396,.270,.312,.530,.842
Michael Cuddyer,COL,358,.260,.317,.489,.806
Chris Nelson,COL,345,.301,.352,.458,.810
Josh Rutledge,COL,277,.274,.306,.469,.775
Todd Helton,COL,240,.238,.343,.400,.743
DJ LeMahieu,COL,229,.297,.332,.410,.742
Jonathan Herrera,COL,225,.262,.317,.351,.668
