playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Rafael Furcal,ATL,636,.275,.323,.387,.710
Andruw Jones,ATL,560,.264,.366,.513,.879
Chipper Jones Jr.,ATL,548,.327,.435,.536,.971
Vinny Castilla,ATL,543,.232,.268,.348,.616
Gary Sheffield,ATL,492,.307,.404,.512,.916
Javy Lopez,ATL,347,.233,.299,.372,.671
Julio Franco,ATL,338,.284,.357,.382,.739
Keith Lockhart,ATL,296,.216,.282,.331,.613
Henry Blanco,ATL,221,.204,.267,.335,.602
Marcus Giles,ATL,213,.230,.315,.399,.714
Mark DeRosa,ATL,212,.297,.339,.429,.768
