playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Starlin Castro,MIA,593,.278,.329,.400,.729
Brian Anderson,MIA,590,.273,.357,.400,.757
Derek Dietrich,MIA,499,.265,.330,.421,.751
Miguel Rojas,MIA,488,.252,.297,.346,.643
J.T. Realmuto,MIA,477,.277,.340,.484,.824
Lewis Brinson,MIA,382,.199,.240,.338,.578
JT Riddle,MIA,308,.231,.277,.377,.654
Martín Prado,MIA,197,.244,.287,.305,.592
Bryan Holaday,MIA,151,.205,.261,.258,.519
Magneuris Sierra,MIA,147,.190,.222,.211,.433
Yadiel Rivera,MIA,139,.173,.269,.216,.485
