playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Norichika Aoki,MIL,597,.286,.356,.370,.726
Jean Segura,MIL,588,.294,.329,.423,.752
Carlos Gómez,MIL,536,.284,.338,.506,.844
Jonathan Lucroy,MIL,521,.280,.340,.455,.795
Yuniesky Betancourt,MIL,391,.212,.240,.355,.595
Rickie Weeks Jr.,MIL,350,.209,.306,.357,.663
Juan Francisco,MIL,348,.227,.296,.422,.718
Aramis Ramirez,MIL,304,.283,.370,.461,.831
Logan Schafer,MIL,298,.211,.279,.322,.601
Jeff Bianchi,MIL,236,.237,.272,.292,.564
Ryan Braun,MIL,225,.298,.372,.498,.870
