playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Kevin Kouzmanoff,SD,624,.260,.299,.433,.732
Adrián González,SD,616,.279,.361,.510,.871
Brian Giles,SD,559,.306,.398,.456,.854
Khalil Greene,SD,389,.213,.260,.339,.599
Chase Headley,SD,331,.269,.337,.420,.757
Jody Gerut,SD,328,.296,.351,.494,.845
Scott Hairston,SD,326,.248,.312,.479,.791
Edgar Gonzalez,SD,325,.274,.329,.385,.714
Luis Antonio Rodriguez,SD,202,.287,.326,.351,.677
Nick Hundley,SD,198,.237,.278,.359,.637
Josh Bard,SD,178,.202,.279,.270,.549
