playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Juan Pierre,FLA,668,.305,.361,.373,.734
Juan Encarnacion,FLA,601,.270,.313,.446,.759
Luis Castillo,FLA,595,.314,.381,.397,.778
Jeff Conine,FLA,577,.282,.338,.459,.797
Derrek Lee,FLA,539,.271,.379,.508,.887
Alex Gonzalez,FLA,528,.256,.313,.443,.756
Ivan Rodriguez,FLA,511,.297,.369,.474,.843
Mike Lowell,FLA,492,.276,.350,.530,.880
Miguel Cabrera,FLA,314,.268,.325,.468,.793
Todd Hollandsworth,FLA,228,.254,.317,.421,.738
Brian Banks,FLA,149,.235,.348,.383,.731
