playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Jason Kendall,PIT,545,.283,.350,.356,.706
Jack Wilson,PIT,527,.252,.306,.332,.638
Aramis Ramirez,PIT,522,.234,.279,.387,.666
Brian Giles,PIT,497,.298,.450,.622,1.072
Kevin Young,PIT,468,.246,.322,.408,.730
Pokey Reese,PIT,421,.264,.330,.352,.682
Rob Mackowiak,PIT,385,.244,.328,.426,.754
Craig Wilson,PIT,368,.264,.355,.443,.798
Abraham O. Nunez,PIT,253,.233,.311,.320,.631
Armando Rios,PIT,208,.264,.319,.332,.651
Adrian Brown,PIT,208,.216,.284,.298,.582
