playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
José Reyes,NYM,647,.300,.354,.487,.841
David Wright,NYM,582,.311,.381,.531,.912
Shawn Green,NYM,530,.277,.344,.432,.776
Carlos Delgado,NYM,524,.265,.361,.548,.909
Paul Lo Duca,NYM,512,.318,.355,.428,.783
Carlos Beltrán,NYM,510,.275,.388,.594,.982
Jose Valentin,NYM,384,.271,.330,.490,.820
Endy Chavez,NYM,353,.306,.348,.431,.779
Cliff Floyd,NYM,332,.244,.324,.407,.731
Chris Woodward,NYM,222,.216,.289,.311,.600
Lastings Milledge,NYM,166,.241,.310,.380,.690
