playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Jeff Bagwell,HOU,590,.310,.424,.615,1.039
Richard Hidalgo,HOU,558,.314,.391,.636,1.027
Moises Alou,HOU,454,.355,.416,.623,1.039
Julio Lugo,HOU,420,.283,.346,.431,.777
Craig Biggio,HOU,377,.268,.388,.393,.781
Bill Spiers,HOU,355,.301,.386,.392,.778
Lance Berkman,HOU,353,.297,.388,.561,.949
Mitch Meluskey,HOU,337,.300,.401,.487,.888
Tim Bogar,HOU,304,.207,.292,.319,.611
Daryle Ward,HOU,264,.258,.295,.538,.833
Roger Cedeno,HOU,259,.282,.383,.398,.781
