playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Paul Goldschmidt,STL,599,.245,.302,.414,.716
Brendan Donovan,STL,587,.278,.342,.417,.759
Masyn Winn,STL,587,.267,.314,.416,.730
Nolan Arenado,STL,578,.272,.325,.394,.719
Alec Burleson,STL,547,.269,.314,.420,.734
Nolan Gorman,STL,365,.203,.271,.400,.671
Lars Nootbaar,STL,348,.244,.342,.417,.759
Willson Contreras,STL,301,.262,.380,.468,.848
Michael Siani,STL,298,.228,.285,.285,.570
Iván Herrera,STL,229,.301,.372,.428,.800
Pedro Pagés,STL,202,.238,.281,.376,.657
