playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Carlos González,COL,587,.336,.376,.598,.974
Troy Tulowitzki,COL,470,.315,.381,.568,.949
Dexter Fowler,COL,439,.260,.347,.410,.757
Todd Helton,COL,398,.256,.362,.367,.729
Miguel Olivo,COL,394,.269,.315,.449,.764
Clint Barmes,COL,387,.235,.305,.351,.656
Ian Stewart,COL,386,.256,.338,.443,.781
Seth Smith,COL,358,.246,.314,.469,.783
Ryan Spilborghs,COL,341,.279,.360,.437,.797
Melvin Mora,COL,316,.285,.358,.421,.779
Jonathan Herrera,COL,222,.284,.352,.342,.694
