playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Alfonso Soriano,NYY,696,.300,.332,.547,.879
Derek Jeter,NYY,644,.297,.373,.421,.794
Bernie Williams,NYY,612,.333,.415,.493,.908
Raul Mondesi,NYY,569,.232,.308,.432,.740
Jason Giambi,NYY,560,.314,.435,.598,1.033
Jorge Posada,NYY,511,.268,.370,.468,.838
Robin Ventura,NYY,465,.247,.368,.458,.826
Rondell White,NYY,455,.240,.288,.378,.666
Nick Johnson,NYY,378,.243,.347,.402,.749
Shane Spencer,NYY,288,.247,.324,.375,.699
John Vander Wal,NYY,219,.260,.327,.429,.756
