playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Shelby Miller,ATL,205.1,3.02,1.25,171,6
Julio Teheran,ATL,200.2,4.04,1.31,171,11
Mike Foltynewicz,ATL,86.2,5.71,1.63,77,4
Williams Pérez,ATL,116.2,4.78,1.55,73,7
Matt Wisler,ATL,109.0,4.71,1.46,72,8
Jason Grilli,ATL,33.2,2.94,1.13,45,3
Ross Detwiler,ATL,58.1,7.25,2.02,41,1
Edwin Jackson,ATL,55.2,3.07,1.17,40,4
Brandon Cunniff,ATL,35.0,4.63,1.40,37,2
Arodys Vizcaíno,ATL,33.2,1.60,1.19,37,3
