playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Elly De La Cruz,CIN,618,.259,.339,.471,.810
Spencer Steer,CIN,574,.225,.319,.402,.721
Jonathan India,CIN,533,.248,.357,.392,.749
Ty France,CIN,479,.234,.305,.365,.670
Tyler Stephenson,CIN,457,.258,.338,.444,.782
Jeimer Candelario,CIN,427,.225,.279,.429,.708
Santiago Espinal,CIN,357,.246,.295,.356,.651
Jake Fraley,CIN,350,.277,.330,.386,.716
Will Benson,CIN,343,.187,.274,.376,.650
Amed Rosario,CIN,332,.280,.306,.380,.686
TJ Friedl,CIN,297,.226,.310,.380,.690
