playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Ryan Braun,MIL,635,.320,.386,.551,.937
Felipe Lopez,MIL,604,.310,.383,.427,.810
Prince Fielder,MIL,591,.299,.412,.602,1.014
Mike Cameron,MIL,544,.250,.342,.452,.794
Jason Kendall,MIL,452,.241,.331,.305,.636
Corey Hart,MIL,419,.260,.335,.418,.753
J.J. Hardy,MIL,414,.229,.302,.357,.659
Craig Counsell,MIL,404,.285,.357,.408,.765
Casey McGehee,MIL,355,.301,.360,.499,.859
Jody Gerut,MIL,274,.230,.279,.376,.655
Rickie Weeks Jr.,MIL,147,.272,.340,.517,.857
