playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Ian Kinsler,DET,618,.288,.348,.484,.832
Miguel Cabrera,DET,595,.316,.393,.563,.956
Justin Upton,DET,570,.246,.310,.465,.775
Victor Martinez,DET,553,.289,.351,.476,.827
Jose Iglesias,DET,467,.255,.306,.336,.642
J.D. Martinez,DET,460,.307,.373,.535,.908
Erick Aybar,DET,415,.243,.303,.320,.623
Nick Castellanos,DET,411,.285,.331,.496,.827
Cameron Maybin,DET,349,.315,.383,.418,.801
James McCann,DET,344,.221,.272,.358,.630
Jarrod Saltalamacchia,DET,246,.171,.284,.346,.630
