playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Michael Young,TEX,656,.284,.330,.444,.774
Vladimir Guerrero,TEX,593,.300,.345,.496,.841
Elvis Andrus,TEX,588,.265,.342,.301,.643
Josh Hamilton,TEX,518,.359,.411,.633,1.044
Jorge Cantu,TEX,472,.256,.304,.392,.696
Jeff Francoeur,TEX,454,.249,.300,.383,.683
Julio Borbon,TEX,438,.276,.309,.340,.649
David Murphy,TEX,419,.291,.358,.449,.807
Nelson Cruz,TEX,399,.318,.374,.576,.950
Ian Kinsler,TEX,391,.286,.382,.412,.794
Bengie Molina,TEX,377,.249,.297,.326,.623
