playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Marquis Grissom,MIL,595,.244,.288,.351,.639
Ronnie Belliard,MIL,571,.263,.354,.389,.743
Jeromy Burnitz,MIL,564,.232,.356,.456,.812
Richie Sexson,MIL,537,.272,.349,.499,.848
Geoff Jenkins,MIL,512,.303,.360,.588,.948
José Hernández,MIL,446,.244,.315,.372,.687
Charlie Hayes,MIL,370,.251,.348,.370,.718
Mark Loretta,MIL,352,.281,.350,.406,.756
Henry Blanco,MIL,284,.236,.318,.394,.712
Tyler Houston,MIL,284,.250,.292,.493,.785
Raul Casanova,MIL,231,.247,.331,.407,.738
