playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Jose Altuve,HOU,626,.283,.316,.363,.679
Matt Dominguez,HOU,543,.241,.286,.403,.689
Chris Carter,HOU,506,.223,.320,.451,.771
Jason Castro,HOU,435,.276,.350,.485,.835
Brandon Barnes,HOU,408,.240,.289,.346,.635
J.D. Martinez,HOU,296,.250,.272,.378,.650
Brett Wallace,HOU,262,.221,.284,.431,.715
Robbie Grossman,HOU,257,.268,.332,.370,.702
Jonathan Villar,HOU,210,.243,.321,.319,.640
Marwin Gonzalez,HOU,204,.221,.252,.319,.571
Carlos Corporán,HOU,191,.225,.287,.361,.648
