playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Daric Barton,OAK,556,.273,.393,.405,.798
Kevin Kouzmanoff,OAK,551,.247,.283,.396,.679
Rajai Davis,OAK,525,.284,.320,.377,.697
Cliff Pennington,OAK,508,.250,.319,.368,.687
Kurt Suzuki,OAK,495,.242,.303,.366,.669
Mark Ellis,OAK,436,.291,.358,.381,.739
Jack Cust,OAK,349,.272,.395,.438,.833
Ryan Sweeney,OAK,303,.294,.342,.383,.725
Coco Crisp,OAK,290,.279,.342,.438,.780
Adam Rosales,OAK,255,.271,.321,.400,.721
Jeremy Hermida,OAK,222,.216,.268,.351,.619
