playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Jeff Francoeur,ATL,599,.239,.294,.359,.653
Kelly Johnson,ATL,547,.287,.349,.446,.795
Casey Kotchman,ATL,525,.272,.328,.410,.738
Yunel Escobar,ATL,514,.288,.366,.401,.767
Brian McCann,ATL,509,.301,.373,.523,.896
Chipper Jones Jr.,ATL,439,.364,.470,.574,1.044
Grégor Blanco,ATL,430,.251,.366,.309,.675
Omar Infante,ATL,317,.293,.338,.416,.754
Martín Prado,ATL,228,.320,.377,.461,.838
Greg Norton,ATL,187,.262,.373,.439,.812
Josh Anderson,ATL,136,.294,.338,.426,.764
