playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
José Abreu,CWS,621,.304,.354,.552,.906
Tim Anderson,CWS,587,.257,.276,.402,.678
Avisaíl García,CWS,518,.330,.380,.506,.886
Yolmer Sánchez,CWS,484,.267,.319,.413,.732
Matt Davidson,CWS,414,.220,.260,.452,.712
Adam Engel,CWS,301,.166,.235,.282,.517
Leury García,CWS,300,.270,.316,.423,.739
Kevan Smith,CWS,276,.283,.309,.388,.697
Omar Narváez,CWS,253,.277,.373,.340,.713
Tyler Saladino,CWS,253,.178,.254,.229,.483
Alen Hanson,CWS,217,.221,.262,.346,.608
