playerFullName,teamAbbrev,IP,ERA,WHIP,SO,W
Jose Mercedes,BAL,184.0,5.82,1.53,123,8
Jason Johnson,BAL,196.0,4.09,1.38,114,10
Willis Roberts,BAL,132.0,4.91,1.49,95,9
Sidney Ponson,BAL,138.1,4.94,1.43,84,5
John Wasdin,BAL,74.0,5.11,1.49,64,3
Josh Towers,BAL,140.1,4.49,1.29,58,8
B.J. Ryan,BAL,53.0,4.25,1.45,54,2
Buddy Groom,BAL,66.0,3.55,1.11,54,1
Calvin Maduro,BAL,93.2,4.23,1.27,51,5
Pat Hentgen,BAL,62.1,3.47,1.12,33,2
